,LSOA,Asian,Black,White,Others,General_Health_Total,Health_Very_Good,Health_Good,Health_Fair,Health_Bad,Health_Very_Bad,Disability_Total,Disabled,Disability_limited_lot,Disability_limited_little,Disability_No,Disability_phy_mental_yes,Disability_phy_mental_no,unpaid_care_total,unpaid_care_no,unpaid_care_upto19,unpaid_care_upto9,unpaid_care_10to19,unpaid_care_20to49,unpaid_care_20to34,unpaid_care_35to49,unpaid_care_above50,household_disabled_total,household_disabled_no,household_disabled_1,household_disabled_above1
0,E01010568,42,11,1638,31,1719,822,605,206,61,25,1719,293,104,189,1426,148,1278,1623,1474,92,74,18,26,13,13,31,825,577,207,41
1,E01010569,21,17,1674,42,1756,772,583,257,110,34,1755,426,195,231,1329,121,1208,1663,1492,69,50,19,32,13,19,70,841,498,274,69
2,E01010570,62,4,1409,22,1497,780,479,172,58,8,1498,261,106,155,1237,135,1102,1434,1294,91,74,17,16,6,10,33,585,417,127,41
3,E01010571,52,27,1768,96,1944,885,703,251,84,21,1947,370,149,221,1577,152,1425,1810,1663,75,59,16,35,16,19,37,937,629,255,53
4,E01010572,27,4,1422,29,1483,688,551,196,35,13,1483,236,69,167,1247,133,1114,1418,1295,72,54,18,25,7,18,26,674,476,164,34
5,E01010573,37,6,1770,16,1832,942,618,201,52,19,1830,259,107,152,1571,147,1424,1743,1559,106,88,18,28,17,11,50,818,598,179,41
6,E01010574,26,6,1342,31,1406,669,477,183,61,16,1405,277,119,158,1128,118,1010,1359,1239,63,48,15,16,9,7,41,638,440,166,32
7,E01010575,24,0,1532,17,1575,706,601,198,62,8,1573,268,93,175,1305,128,1177,1528,1397,83,73,10,22,11,11,26,759,528,197,34
8,E01010576,55,7,1428,26,1516,744,538,170,45,19,1516,253,84,169,1263,110,1153,1419,1272,92,76,16,26,14,12,29,666,489,139,38
9,E01010577,22,10,1486,36,1552,813,540,156,32,11,1551,215,67,148,1336,106,1230,1489,1319,109,81,28,21,9,12,40,656,484,136,36
10,E01010578,58,7,1509,28,1604,732,487,250,106,29,1604,375,182,193,1229,129,1100,1558,1403,101,63,38,21,10,11,33,772,506,217,49
11,E01010579,65,12,1409,24,1509,749,520,192,39,9,1509,238,84,154,1271,130,1141,1467,1328,74,57,17,29,14,15,36,637,461,146,30
12,E01010580,87,16,2361,55,2514,1346,782,265,102,19,2516,393,182,211,2123,215,1908,2392,2200,112,80,32,34,22,12,46,1053,775,228,50
13,E01010581,26,14,1564,43,1642,824,570,185,47,16,1646,250,103,147,1396,126,1270,1550,1415,75,58,17,20,16,4,40,706,496,174,36
14,E01010582,22,3,1601,45,1669,811,564,203,71,20,1668,303,123,180,1365,121,1244,1580,1441,81,60,21,23,10,13,35,742,506,196,40
15,E01010583,47,6,1161,43,1260,584,437,163,51,25,1260,259,112,147,1001,88,913,1194,1101,50,34,16,23,9,14,20,583,365,185,33
16,E01010584,73,21,1634,40,1768,752,585,296,112,23,1771,401,196,205,1370,137,1233,1687,1547,56,39,17,38,12,26,46,902,570,276,56
17,E01010585,73,18,1854,63,2010,942,672,292,89,15,2009,394,158,236,1615,172,1443,1930,1769,88,71,17,34,17,17,39,1033,689,302,42
18,E01010586,26,2,1536,33,1602,863,522,168,34,15,1601,216,81,135,1385,152,1233,1540,1388,92,80,12,16,8,8,44,741,561,147,33
19,E01010587,189,6,1808,53,2059,1113,677,204,46,19,2060,271,101,170,1789,152,1637,1961,1806,96,80,16,19,7,12,40,886,659,189,38
20,E01010588,224,18,1275,73,1585,696,592,215,63,19,1585,282,111,171,1303,103,1200,1512,1372,68,48,20,23,13,10,49,675,448,184,43
