,LSOA,Asian_pct,Black_pct,White_pct,Others_pct,Health_Very_Good_pct,Health_Fair_pct,Health_Very_Bad_pct,Disabled_pct,Disability_limited_lot_pct,Disability_limited_little_pct,Disability_No_pct,Disability_phy_mental_yes_pct,Disability_phy_mental_no_pct,unpaid_care_up9to49_pct,unpaid_care_no_pct,unpaid_care_above50_pct
0,E01010568,2.44,0.64,95.12,1.8,83.01,11.98,5.0,17.04,6.05,10.99,82.96,8.61,74.35,13.74,90.82,1.91
1,E01010569,1.2,0.97,95.44,2.39,77.16,14.64,8.2,24.27,11.11,13.16,75.73,6.89,68.83,11.37,89.72,4.21
2,E01010570,4.14,0.27,94.12,1.47,84.1,11.49,4.41,17.42,7.08,10.35,82.58,9.01,73.56,14.5,90.24,2.3
3,E01010571,2.68,1.39,90.99,4.94,81.69,12.91,5.4,19.0,7.65,11.35,81.0,7.81,73.19,11.27,91.88,2.04
4,E01010572,1.82,0.27,95.95,1.96,83.55,13.22,3.24,15.91,4.65,11.26,84.09,8.97,75.12,13.19,91.33,1.83
5,E01010573,2.02,0.33,96.77,0.87,85.15,10.97,3.88,14.15,5.85,8.31,85.85,8.03,77.81,14.4,89.44,2.87
6,E01010574,1.85,0.43,95.52,2.21,81.51,13.02,5.48,19.72,8.47,11.25,80.28,8.4,71.89,10.96,91.17,3.02
7,E01010575,1.53,0.0,97.39,1.08,82.98,12.57,4.44,17.04,5.91,11.13,82.96,8.14,74.83,13.02,91.43,1.7
8,E01010576,3.63,0.46,94.2,1.72,84.56,11.21,4.22,16.69,5.54,11.15,83.31,7.26,76.06,15.64,89.64,2.04
9,E01010577,1.42,0.64,95.62,2.32,87.18,10.05,2.77,13.86,4.32,9.54,86.14,6.83,79.3,16.86,88.58,2.69
10,E01010578,3.62,0.44,94.19,1.75,76.0,15.59,8.42,23.38,11.35,12.03,76.62,8.04,68.58,15.02,90.05,2.12
11,E01010579,4.3,0.79,93.31,1.59,84.1,12.72,3.18,15.77,5.57,10.21,84.23,8.61,75.61,13.09,90.52,2.45
